cruise,cast,niskin,date,latitude,longitude,depth,sample_type,replicate,npoc,tn,quality_flag,nearest_station,station_distance,date_analyzed,filename
AT46,1,2,2022-02-16 18:29:56,41.1969,-70.8830,17.905,cast,a,90.8,6.1,1,L1,0.031,2022-03-03,LTER_AT45_C1_N2_DOC.16.Feb.2022_note
AT46,1,13,2022-02-16 18:35:38,41.1966,-70.8828,2.056,cast,a,85.9,5.1,1,L1,0.043,2022-03-03,LTER_AT45_C1_N13_DOC.16.Feb.2022_note
AT46,2,2,2022-02-17 02:32:13,40.6969,-70.8819,59.848,cast,a,81.0,7.4,1,L4,0.121,2022-03-03,LTER_AT46_C2_N2
AT46,2,8,2022-02-17 02:38:14,40.6968,-70.8817,38.226,cast,a,82.4,8.3,1,L4,0.136,2022-03-04,LTER_AT46_C2_N8
AT46,2,19,2022-02-17 02:45:33,40.6974,-70.8813,2.493,cast,a,81.1,7.7,1,L4,0.184,2022-03-04,LTER_AT46_C2_N19
AT46,3,4,2022-02-17 05:27:48,40.5141,-70.8818,55.500,cast,a,76.0,9.1,1,L5,0.153,2022-03-04,LTER_AT46_C3_N4
AT46,3,13,2022-02-17 05:40:37,40.5141,-70.8807,3.136,cast,a,74.6,8.9,1,L5,0.238,2022-03-03,LTER_AT46_C3_N13
AT46,6,13,2022-02-17 13:23:09,40.3635,-70.8812,21.973,cast,a,74.0,8.1,1,L6,0.179,2022-03-03,LTER_AT46_C6_N13
AT46,6,18,2022-02-17 13:26:54,40.3634,-70.8812,2.935,cast,a,70.9,8.8,1,L6,0.175,2022-03-03,LTER_AT46_C6_N18
AT46,7,1,2022-02-17 21:36:47,39.7727,-70.8816,496.166,cast,a,49.9,23.5,1,L11,0.160,2022-03-03,LTER_AT46_C7_N1
AT46,7,1,2022-02-17 21:36:47,39.7727,-70.8816,496.166,cast,b,48.4,24.3,1,L11,0.160,2022-03-04,LTER_AT46_C7_N1_dup
AT46,7,4,2022-02-17 21:59:44,39.7726,-70.8808,99.355,cast,a,73.9,11.3,1,L11,0.230,2022-03-03,LTER_AT46_C7_N4
AT46,7,9,2022-02-17 22:09:52,39.7726,-70.8806,45.970,cast,a,64.7,10.8,1,L11,0.247,2022-03-04,LTER_AT46_C7_N9
AT46,7,19,2022-02-17 22:18:47,39.7726,-70.8802,3.683,cast,a,69.9,11.7,1,L11,0.272,2022-03-03,LTER_AT46_C7_N19
AT46,8,13,2022-02-18 04:44:34,40.0906,-70.8669,28.411,cast,a,72.0,9.2,1,L9,1.637,2022-03-04,LTER_AT46_C8_N13
AT46,8,22,2022-02-18 04:51:00,40.0905,-70.8658,1.880,cast,a,75.1,8.6,1,L9,1.730,2022-03-04,LTER_AT46_C8_N22
